Site,Lat,Lng,Link,Target
44,59.144413,13.522014,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
45,52.340709,4.872876,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
46,40.444996,29.638342,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
47,54.428104,-1.949183,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
48,28.966410,116.704470,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
49,22.307244,114.195800,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
50,43.004392,141.341634,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
51,36.499981,128.096161,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
52,3.110000,101.861801,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
53,24.920523,121.625350,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
54,60.531858,-142.163693,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
55,-34.116212,-71.132153,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
56,14.132915,-16.499164,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
57,6.344338,12.937847,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
58,26.198582,91.221375,"http://www.sciencedirect.com/science/article/pii/S1473309910701432",“_blank"
59,28.205127,70.626710,"http://www.sciencedirect.com/science/article/pii/S1473309910701432",“_blank"
60,21.020354,79.899171,"http://www.sciencedirect.com/science/article/pii/S1473309910701432",“_blank"
61,54.845935,6.593421,"http://www.sciencedirect.com/science/article/pii/S1473309910701432",“_blank"
62,53.459955,-1.789074,"http://www.sciencedirect.com/science/article/pii/S1473309910701432",“_blank"
63,-68.311362,101.953128,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
64,-76.043488,-103.710940,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
65,77.468966,-69.223909,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
66,67.106525,-50.034831,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
67,63.273000,-145.253847,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
68,38.664662,72.107219,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
69,31.943540,105.569889,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
70,32.284218,101.656536,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
71,36.580981,137.571721,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
72,-46.571421,-73.726216,"http://onlinelibrary.wiley.com/doi/10.1111/1758-2229.12011/full",“_blank"
73,46.367575,3.076746,"http://www.sciencedirect.com/science/article/pii/S0140673605791662",“_blank"
74,-20.114169,-49.357260,"http://www.sciencedirect.com/science/article/pii/S1473309901000913",“_blank"
75, 13.552077, 101.534049, “http://ije.oxfordjournals.org/content/43/4/1105.full",“_blank"
